16 Personality Type Results,Major_1,Major_2,Minor_1,Minor_2,PDP_Status,Grad_Year,Class_Standing,GPA,Semester_Units,Transfer,International_Student,Post_Grad_Plan,Industry,Planned_Role,Num_Football_Games,Social_Greek_Life_Status,Prof_Greek_Life_Status,Prof_Org_Status,Cultural_Org_Status,Religious_Org_Status,Sports_Org_Status,USC_Social_Exp,Merit_Scholarship_Percent,Paid_Job_Status,Time_Spent_Working,Time_Spent_Friends,Time_Spent_Family,Study_Alone,Time_Spent_Classwork,Overall_USC_Exp,Sex,Age,Home_Country,Zip_Code_US,Is_California_Home,Languages_Spoken,News_Source,Loves_to_Travel,Foodie,Purchase_Based_On_Sustainability,Purchase_Based_On_Sustainability,Meals_Delivery_Service_Percent,Ride_Share_Percent
ENTP-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.5,16,No,No,Work,Technology: Software/Internet,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,5,75%,Yes,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Male,21,US,61944,Yes,2,"Instagram, X, Tiktok, Youtube, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
ISTJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.94,16,No,No,Work,Finance: Asset Management,Finance Management,4-Jan,No,Yes,Yes,Yes,No,Yes,3,0%,No,≤ 10%,20-30%,≤ 10%,Yes,10-20%,4,Male,20,US,98607,No,1,News Sites (e.g. Wall Street Journal),Yes,No,No,Yes,0%,0%
INTP-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.87,16,No,No,Work,Finance: Asset Management,Finance Management,8+,Yes,No,Yes,No,Yes,No,4,0%,No,≤ 10%,> 50%,≤ 10%,Yes,10-20%,4,Male,21,US,75230,No,1,"Instagram, Tiktok, Google News, News Sites (e.g. Wall Street Journal)",Yes,No,Sometimes,Yes,25%,75%
INFP-A,Biological Sciences,Data Science,N/A,,Maybe,2026,Sophmore,3.83,16,No,Yes,Graduate School,Technology: Other,Business/Corporate Services,0,No,No,Yes,Yes,No,No,5,0%,No,10-20%,10-20%,≤ 10%,Yes,10-20%,5,Male,19,CN,N/A,Yes,2,"Youtube, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,25%
INTJ-T,Psychology,Data Science,N/A,,No,2024,Senior,3.93,8,No,No,Work,Technology: Software/Internet,"Information Services, Statistics, Records, and Archives",0,No,No,No,Yes,No,No,2,25%,No,≤ 10%,20-30%,≤ 10%,Yes,20-30%,3,Male,23,KR,N/A,Yes,3,X,Yes,Yes,No,Yes,0%,25%
ENFJ-A,Business Administration,,Foundations of Data Science,,Yes,2024,Senior,3.7,18,"Yes, from a 4 year college",Yes,Still Deciding,Finance: VC/Private Equities,Finance Management,0,No,Yes,Yes,Yes,Yes,No,5,0%,Yes,≤ 10%,> 50%,20-30%,No,20-30%,4,Female,23,CN,N/A,No,3,"Instagram, X, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,100%
ISFP-T,Economics,,Applied Analytics,,No,2024,Senior,3.54,16,No,No,Still Deciding,Finance: Diversified Financial Services,Finance Management,4-Jan,Yes,No,No,No,No,No,3,0%,No,≤ 10%,10-20%,≤ 10%,Yes,≤ 10%,5,Male,23,US,90266,Yes,2,"Instagram, Tiktok, Youtube",Yes,No,No,Yes,25%,0%
ENFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.63,16,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,8-May,Yes,No,Yes,Yes,No,No,5,100%,Yes,10-20%,> 50%,20-30%,No,10-20%,5,Male,21,US,90815,Yes,1,"Instagram, X, Tiktok, TV, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
INFJ-A,Business Administration,Accounting,Applied Analytics,Mathematical Finance,No,2024,Senior,3.96,19,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,0,No,No,Yes,No,No,Yes,4,100%,Yes,≤ 10%,≤ 10%,≤ 10%,Yes,30-40%,5,Female,22,US,94002,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,0%
ESTP-T,Business Administration,,Enterprise Information Systems,,No,2027,Freshman,3.02,13,No,No,Still Deciding,Technology: Software/Internet,Information and Communications Technology,4-Jan,No,Yes,Yes,No,No,No,3,100%,Yes,10-20%,10-20%,≤ 10%,Yes,10-20%,3,Female,19,US,21042,No,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,No,0%,75%
ISTJ-T,Applied and Computational Mathematics,Economics,Applied Analytics,,No,2024,Senior,3.92,16,No,Yes,Graduate School,Health Care,Science and Technical R&D,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,20-30%,≤ 10%,Depends,30-40%,4,Female,22,CN,N/A,No,2,"X, Tiktok, Youtube",Yes,Yes,No,Yes,100%,25%
ENFJ-A,Business Administration emphasis in Marketing,,Applied Analytics,,No,2024,Senior,3.1,18,"Yes, from a 2 year college",No,Work,Manufacturing,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,5,0%,Yes,30-40%,> 50%,30-40%,Depends,30-40%,5,Male,22,US,90501,Yes,1,"Instagram, Tiktok, Youtube",Yes,Yes,Sometimes,No,0%,0%
ISFJ-A,Business Administration,,Applied Analytics,,Maybe,2026,Sophmore,3.83,20,No,Yes,Graduate School,Other,"Information Services, Statistics, Records, and Archives",0,No,No,Yes,No,No,Yes,4,0%,No,≤ 10%,10-20%,≤ 10%,Yes,30-40%,4,Male,19,VN,N/A,No,2,"Instagram, Facebook, X, Tiktok, Youtube",Yes,Yes,Yes,Yes,0%,0%
ISTP-T,Health and Human Science,,Applied Analytics,Statistics,No,2024,Senior,3.9,18,No,Yes,Graduate School,Health Care,Other,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,30-40%,≤ 10%,Yes,20-30%,4,Male,22,CN,N/A,No,2,Google News,No,Yes,Sometimes,Yes,25%,75%
ENFJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.73,16,No,No,Work,Finance: Diversified Financial Services,Finance Management,4-Jan,No,Yes,Yes,Yes,No,No,4,0%,Yes,10-20%,30-40%,≤ 10%,Depends,10-20%,5,Female,20,US,8540,Yes,1,"Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
ENTJ-A,Economics ,,Foundation of data science ,,Maybe,2024,Senior,3.86,16,"Yes, from a 4 year college",Yes,Still Deciding,Consulting,Business/Corporate Services,4-Jan,No,No,No,No,No,No,3,0%,Yes,≤ 10%,10-20%,10-20%,Yes,20-30%,5,Female,21,CN,N/A,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",No,No,Sometimes,Yes,25%,75%
ENTJ-A,Economics,,Applied Analytics,,No,2024,Senior,3,16,"Yes, from a 2 year college",Yes,Graduate School,Finance: FinTech,Risk Management,0,No,No,Yes,No,No,No,2,0%,No,≤ 10%,> 50%,20-30%,Yes,20-30%,4,Female,23,CN,N/A,Yes,3,"Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
ENTJ-T,Business of Cinematic Arts,,Applied Analytics ,,No,2024,Senior,3.8,18,No,No,Work,Media/Communications,Marketing,4-Jan,No,No,No,Yes,No,No,2,0%,Yes,30-40%,10-20%,10-20%,Yes,20-30%,4,Female,22,TW,N/A,No,2,"Instagram, Facebook, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,No,Yes,0%,50%
ENTJ-A,Economics-Mathematics,,Foundations of Data Science,,No,2024,Senior,3.54,20,"Yes, from a 4 year college",No,Still Deciding,Finance: FinTech,Other,8+,Yes,No,Yes,Yes,Yes,Yes,5,75%,Yes,10-20%,20-30%,≤ 10%,Yes,> 50%,5,Female,23,US,80305,No,3,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,75%
ISTJ-A,Public Relations,,Applied Analytics,,No,2024,Senior,3.94,16,"Yes, from a 4 year college",Yes,Graduate School,Health Care,Information and Communications Technology,4-Jan,No,No,No,No,No,No,2,0%,Yes,≤ 10%,10-20%,≤ 10%,Yes,> 50%,4,Female,22,CN,N/A,Yes,2,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,25%,25%
ENFJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.93,17,No,No,Work,Finance: Insurance,Risk Management,4-Jan,No,No,Yes,Yes,No,No,5,0%,No,20-30%,30-40%,10-20%,Yes,10-20%,5,Female,21,US,48168,No,2,"Instagram, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
ESFJ-A,Business Administration,,Applied Analytics,Environmental Studies,No,2024,Senior,3.89,14,No,No,Work,Consulting,Business/Corporate Services,4-Jan,No,No,Yes,No,Yes,No,5,50%,Yes,≤ 10%,> 50%,≤ 10%,No,20-30%,5,Male,22,US,92782,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,0%,0%
ISTP-T,Neuroscience,,Applied Analytics,Art History,No,2024,Senior,3.93,16,No,No,Graduate School,Life Sciences,Science and Technical R&D,4-Jan,No,No,No,No,Yes,No,2,50%,No,≤ 10%,20-30%,10-20%,No,20-30%,3,Male,21,US,92127,Yes,1,"Instagram, X, Tiktok",Yes,No,No,Yes,0%,0%
ENTJ-A,Business Administration,,Applied Analytics,Real Estate Development,No,2024,Senior,3.52,16,No,Yes,Still Deciding,Finance: FinTech,Finance Management,4-Jan,No,No,Yes,Yes,No,Yes,5,0%,Yes,20-30%,30-40%,10-20%,Depends,10-20%,5,Male,21,ET,N/A,No,2,"Instagram, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
ISTP-T,Applied and Computational Mathematics,,Foundations of Data Science,,No,2025,Junior,3.4,16,No,No,Work,Other,Business/Corporate Services,0,No,No,No,No,No,No,1,0%,Yes,≤ 10%,≤ 10%,≤ 10%,Yes,30-40%,2,Male,20,US,91377,Yes,1,X,Yes,No,No,No,0%,0%
ESFJ-A,Industrial and Systems Engineering ,,No minor,,No,2024,Senior,3.3,16,No,Yes,Work,Finance: Diversified Financial Services,Operations Management,4-Jan,No,No,Yes,Yes,No,Yes,5,0%,No,≤ 10%,30-40%,10-20%,Depends,20-30%,5,Female,22,PA,PA,No,2,"Instagram, Tiktok",Yes,Yes,Sometimes,Yes,25%,75%
ENTJ-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.8,17,No,No,Work,Technology: Software/Internet,Business/Corporate Services,0,No,No,Yes,Yes,No,Yes,3,50%,Yes,≤ 10%,30-40%,≤ 10%,Yes,> 50%,4,Female,21,US,95129,Yes,4,"Instagram, Youtube, Google News",Yes,Yes,Sometimes,Yes,0%,0%
ESFJ-A,Business Administration ,N/A,Data Science,N/A,No,2024,Senior,3.86,14,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,8-May,Yes,No,Yes,Yes,No,No,5,0%,Yes,≤ 10%,> 50%,≤ 10%,Depends,20-30%,5,Female,21,US,94568,Yes,2,"Tiktok, News Sites (e.g. Wall Street Journal), Podcasts",Yes,Yes,No,Yes,0%,25%
ISFJ-T,Business Administration,,Applied Analytics,,No,2025,Senior,3.88,18,"Yes, from a 4 year college",No,Work,Consulting,Risk Management,4-Jan,No,No,No,Yes,No,No,5,0%,No,≤ 10%,> 50%,10-20%,Depends,20-30%,5,Male,21,KR,N/A,Yes,2,"Instagram, Tiktok, Youtube",No,Yes,No,Yes,0%,25%
ISTJ-T,Economics and Mathematics BS,,applied analytics,,Maybe,2025,Junior,3.74,18,No,No,Still Deciding,Technology: Software/Internet,Information and Communications Technology,0,No,No,No,No,No,No,3,75%,No,≤ 10%,10-20%,10-20%,Yes,10-20%,4,Male,21,USA,94118,Yes,2,Instagram,No,Yes,Yes,Yes,0%,0%
ESTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.9,14,No,No,Work,Consulting,Business/Corporate Services,8-May,No,No,No,Yes,Yes,No,4,100%,Yes,10-20%,30-40%,20-30%,Yes,20-30%,4,Male,21,US,90034,Yes,3,"Instagram, X, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
ENTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.3,18,"Yes, from a 2 year college",No,Work,Finance: VC/Private Equities,Finance Management,0,Yes,Yes,Yes,No,No,No,4,0%,Yes,20-30%,10-20%,> 50%,Depends,10-20%,5,Male,22,US,91504,Yes,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,0%
ESTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.63,12,No,No,Work,Other,Business/Corporate Services,8-May,Yes,No,No,No,No,Yes,5,100%,No,10-20%,20-30%,≤ 10%,No,20-30%,5,Male,22,US,94070,Yes,2,"Instagram, TV, News Sites (e.g. Wall Street Journal)",No,Yes,Yes,Yes,0%,25%
ENTP-T,Business Administration,,Applied Analytics,Music Industry,No,2024,Senior,3.6,18,No,No,Work,Other,Operations Management,8-May,No,No,No,Yes,No,No,4,50%,Yes,20-30%,20-30%,≤ 10%,Depends,10-20%,4,Male,21,US,96825,No,1,"Instagram, Tiktok",Yes,Yes,No,Yes,0%,0%
ISTJ-A,Economics and Data Science,,Applied Analytics,,No,2024,Senior,4,9,"Yes, from a 4 year college",Yes,Graduate School,Technology: Software/Internet,Engineering,4-Jan,No,No,No,No,No,No,3,0%,Yes,30-40%,10-20%,≤ 10%,Yes,20-30%,4,Female,21,CN,N/A,No,2,"Instagram, Tiktok, Youtube",Yes,Yes,No,Yes,0%,50%
INTJ-T,Computational Neuroscience,,Applied Analytics,Marketing,No,2026,Sophmore,3.35,17,No,No,Work,Technology: Software/Internet,"Planning, Policy, and Strategy",8-May,No,No,No,Yes,Yes,No,5,0%,No,20-30%,20-30%,10-20%,No,20-30%,4,Female,19,US,94303,Yes,2,"Instagram, Tiktok, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,No,0%,50%
INFJ-T,Economics/Mathematics,,Applied Analytics,Popular Music Studies,Maybe,2026,Sophmore,3.9,18,No,Yes,Still Deciding,Media/Communications,Marketing,0,No,No,No,Yes,No,No,4,0%,No,≤ 10%,≤ 10%,20-30%,Yes,20-30%,4,Female,18,CN,N/A,No,2,"Instagram, X, Youtube",Yes,No,Sometimes,Yes,0%,25%
ENTJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.79,18,No,No,Work,Technology: Software/Internet,Business/Corporate Services,4-Jan,No,Yes,Yes,No,No,No,4,25%,Yes,≤ 10%,20-30%,≤ 10%,Depends,10-20%,5,Male,20,US,92833,Yes,2,"Instagram, Snapchat, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,Yes,Yes,25%,25%
ENTJ-A,Engineering Management,,Applied Analytics,,No,2024,Graduate Student,3.6,4,No,Yes,Work,Technology: Software/Internet,Other,4-Jan,No,No,No,Yes,No,Yes,4,0%,Yes,> 50%,30-40%,≤ 10%,Yes,> 50%,4,Male,25,IN,N/A,Yes,2,"Instagram, Snapchat, Youtube",Yes,No,Yes,Yes,25%,0%
INFP-T,Business Administration,,Applied Analytics,,Maybe,2024,Senior,3.79,16,No,No,Still Deciding,Finance: Diversified Financial Services,Finance Management,0,No,No,No,No,No,Yes,3,0%,No,≤ 10%,30-40%,≤ 10%,No,20-30%,3,Male,21,US,95129,Yes,2,"Instagram, X, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,50%,25%
ISTJ-A,ECON Data Science,,Applied Analytics,,Maybe,2025,Junior,3.94,16,No,No,Graduate School,Technology: Other,Information and Communications Technology,0,No,No,No,Yes,No,Yes,5,50%,No,≤ 10%,> 50%,≤ 10%,Depends,10-20%,4,Male,21,US,96825,No,3,"Instagram, X",Yes,No,No,Yes,25%,0%
ISFJ-T,Journalism,,Applied Analytics,Web Development,Yes,2025,Senior,3.975,18,No,No,Graduate School,Media/Communications,Public Relations and Media,0,No,No,No,No,No,Yes,4,50%,Yes,≤ 10%,≤ 10%,≤ 10%,Yes,20-30%,4,Female,20,US,94588,Yes,2,"Tiktok, TV, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,25%
ENTJ-T,Cognitive Science ,Data Science,N/A,,No,2024,Senior,3.8,17,No,No,Still Deciding,Technology: Software/Internet,Engineering,8-May,No,No,Yes,No,No,No,5,0%,No,≤ 10%,> 50%,≤ 10%,Depends,30-40%,5,Female,21,US,44011,Yes,2,"Instagram, X, Tiktok, Youtube",Yes,Yes,Sometimes,Yes,25%,25%
INTP-A,Chemistry,,Applied Analytics,,No,2024,Senior,3.33,16,No,No,Work,Other,Engineering,0,No,No,No,No,No,No,1,50%,No,20-30%,30-40%,10-20%,No,20-30%,3,Male,21,US,91343,Yes,2,"X, TV, Youtube, Google News",Yes,Yes,Sometimes,No,0%,0%
ENTP-A,Accounting,,Applied Analytics,,No,2024,Senior,3.72,20,No,No,Work,Finance: Accounting,Business/Corporate Services,8+,No,No,Yes,Yes,No,Yes,4,50%,Yes,20-30%,20-30%,≤ 10%,Depends,10-20%,4,Male,22,US,11234,No,1,"X, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,0%
ENFP-A,"Politics, Philosophy and Economics",Data Science,Screenwriting,,No,2025,Junior,3.77,18,No,No,Work,Media/Communications,Other,0,No,No,No,No,Yes,Yes,5,0%,No,≤ 10%,30-40%,20-30%,Yes,≤ 10%,5,Male,21,US,75072,No,3,"X, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,75%,75%
ENTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.7,6,No,No,Work,Real Estate,Property and Asset Management,4-Jan,Yes,No,Yes,No,Yes,No,3,25%,No,> 50%,20-30%,≤ 10%,Yes,20-30%,3,Male,22,US,90210,Yes,3,"Instagram, X, TV, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,0%,0%
ENFP-T,ECDS,,Applied Analytics,,No,2024,Senior,3.86,20,"Yes, from a 4 year college",Yes,Graduate School,Technology: Other,Information and Communications Technology,4-Jan,No,No,No,Yes,No,Yes,3,0%,No,≤ 10%,> 50%,≤ 10%,Depends,20-30%,4,Female,21,CN,N/A,No,2,"Instagram, Tiktok, Youtube",Yes,Yes,Yes,Yes,25%,50%
INFJ-T,Earth Sciences,Data Science,N/a,,No,2025,Junior,3.39,20,No,No,Still Deciding,Technology: Other,Other,4-Jan,No,No,Yes,No,No,No,3,0%,Yes,20-30%,10-20%,≤ 10%,Depends,10-20%,4,Male,21,US,3045,No,1,"Instagram, Tiktok, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,Yes,0%,0%
ISTJ-A,Business Administration,,Applied Analytics,,Maybe,2025,Junior,3.84,18,No,Yes,Work,Finance: Accounting,Business/Corporate Services,4-Jan,No,No,No,No,No,No,4,25%,Yes,10-20%,20-30%,10-20%,Depends,20-30%,5,Female,20,CN,N/A,Yes,3,Instagram,Yes,Yes,Sometimes,Yes,25%,25%
ISTP-T,Communication,,Applied Analytics,Communication Design,No,2024,Senior,3.95,16,No,Yes,Graduate School,Media/Communications,Marketing,0,No,No,No,Yes,No,No,4,0%,Yes,≤ 10%,> 50%,10-20%,Depends,30-40%,4,Female,22,CN,N/A,No,2,Instagram,Yes,Yes,No,Yes,50%,100%
ESFJ-T,Neuroscience,Healthcare Business,Applied Analytics,,Yes,2025,Senior,3.7,18,No,No,Work,Consulting,Other,4-Jan,No,No,Yes,No,No,No,5,0%,Yes,20-30%,20-30%,≤ 10%,Yes,> 50%,5,Female,21,US,94539,Yes,3,"Instagram, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
ENTJ-A,Business Administration,,Applied Analytics,,No,2025,Junior,3.84,18,No,No,Work,Consulting,Business/Corporate Services,4-Jan,No,No,Yes,No,No,No,4,0%,Yes,20-30%,20-30%,≤ 10%,Yes,20-30%,4,Male,21,US,91011,Yes,1,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,No,Yes,25%,25%
ESFJ-A,Business Administration,,Foundations of Data Science,,No,2024,Senior,3.99,12,No,No,Work,Finance: IB/Brokerage,Business/Corporate Services,0,No,Yes,Yes,No,No,No,3,0%,Yes,≤ 10%,> 50%,≤ 10%,Yes,20-30%,5,Male,22,US,98027,No,1,Instagram,Yes,Yes,Yes,Yes,0%,25%
ESTJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.5,8,"Yes, from a 2 year college",No,Work,Finance: IB/Brokerage,Finance Management,8+,No,No,Yes,No,No,Yes,4,0%,Yes,20-30%,≤ 10%,10-20%,Depends,10-20%,5,Male,22,US,92677,Yes,1,"Instagram, Snapchat, TV, Youtube, News Sites (e.g. Wall Street Journal)",No,Yes,No,Yes,0%,25%
ENTP-T,Business Administration,,Applied Analytics,,No,2024,Senior,3.99,18,No,No,Work,Consulting,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,Yes,4,75%,Yes,10-20%,> 50%,≤ 10%,Yes,20-30%,4,Female,21,US,92656,Yes,3,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",No,No,Sometimes,Yes,0%,0%
ESFJ-T,Business Administration,Accounting,Applied Analytics,,No,2024,Senior,3.7,18,No,No,Work,Consulting,Finance Management,8-May,No,No,Yes,No,No,No,3,50%,Yes,≤ 10%,20-30%,20-30%,Depends,10-20%,3,Male,22,US,92130,Yes,1,"Instagram, Snapchat, X, Tiktok, TV, Youtube, Google News, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,0%,0%
ISFJ-A,Economics,,Applied Analytics,Business Finance,No,2024,Senior,3.61,16,"Yes, from a 2 year college",No,Work,Consulting,Business/Corporate Services,8+,No,No,No,No,No,No,5,0%,No,≤ 10%,20-30%,≤ 10%,Yes,30-40%,5,Male,21,US,91108,Yes,1,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,No,Yes,Yes,0%,0%
ENTP-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.55,18,"Yes, from a 2 year college",No,Work,Technology: Other,Risk Management,4-Jan,No,Yes,No,Yes,No,No,4,0%,Yes,10-20%,10-20%,≤ 10%,Depends,20-30%,4,Male,22,US,97221,No,2,"Instagram, Youtube, News Sites (e.g. Wall Street Journal)",Yes,Yes,Sometimes,Yes,25%,25%
ISTJ-T,Economics,,Foundations of Data Science,,No,2024,Senior,2.9,20,No,No,Still Deciding,Finance: FinTech,Other,4-Jan,No,No,No,Yes,Yes,No,5,0%,Yes,30-40%,20-30%,20-30%,Yes,10-20%,4,Male,21,US,11206,No,4,"X, Tiktok, News Sites (e.g. Wall Street Journal)",Yes,Yes,Yes,No,25%,75%
ESFJ-A,Business Administration,,Applied Analytics,,No,2024,Senior,3.85,16,No,Yes,Work,Technology: Hardware,Business/Corporate Services,4-Jan,No,No,Yes,Yes,No,No,4,25%,Yes,10-20%,> 50%,10-20%,No,20-30%,4,Female,22,CN,N/A,No,2,"Instagram, Tiktok, Youtube, Google News",No,Yes,Yes,No,25%,25%
